Step,AgentID,livestock,income,plots,owner,draft,wealth
8,"(33, 18)",0,"[1163820.0, 1809000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0]",3,5,0,19397210.0
8,"(34, 15)",1,"[5351400.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0]",10,8,2,75865840.0
8,"(35, 17)",0,"[-107320.0, 0.0, 78836.0, 187080.0, 291600.0, 686336.0, 628680.0, 1206000.0, 2334709.0, 1719418.0]",2,7,0,2980703.0
8,"(41, 25)",0,"[374160.0, 388800.0, 967672.0, 1807584.0, 2004000.0, 3241118.0, 2040620.0, 2004000.0, 3241118.0, 2040620.0]",4,1,2,11454554.0
9,"(7, 39)",0,"[2675700.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0]",5,2,2,40904190.0
9,"(8, 42)",0,"[3157180.0, 4833000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0]",7,9,1,52474120.0
9,"(11, 38)",0,"[1605420.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0]",3,6,1,24380894.0
9,"(16, 37)",0,"[93540.0, 97200.0, 343168.0, 626673.0, 807000.0, 1345892.0, 859709.0, 807000.0, 1345892.0, 859709.0]",1,0,0,4817181.0
9,"(17, 38)",0,"[1551760.0, 2412000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0]",4,10,1,26477026.0
9,"(27, 25)",0,"[2327640.0, 3618000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0]",6,4,0,37941256.0
9,"(30, 8)",0,"[1645300.0, 2607000.0, 4944085.0, 3599437.0, 3423000.0, 5658235.0, 3599437.0, 3423000.0, 5658235.0, 3599437.0]",5,3,1,31196641.0
9,"(34, 14)",1,"[5351400.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0]",10,8,2,82616480.0
9,"(35, 16)",0,"[1163820.0, 1809000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0]",3,5,0,21148961.0
9,"(38, 13)",0,"[-107320.0, 0.0, 78836.0, 187080.0, 291600.0, 686336.0, 628680.0, 1206000.0, 2334709.0, 1719418.0]",2,7,0,4250021.0
9,"(42, 25)",0,"[374160.0, 388800.0, 967672.0, 1807584.0, 2004000.0, 3241118.0, 2040620.0, 2004000.0, 3241118.0, 2040620.0]",4,1,2,12675784.0
