Step,owner,age,GM,harvest,crop,plID,X,Y
29,23,6,627810.75,1793.7450000000001,cashew,1,81,50
29,23,6,632677.5,1807.6499999999999,cashew,2,86,51
30,11,10,1146075.0,3274.5,cashew,1,30,60
30,11,10,1146075.0,3274.5,cashew,2,30,65
30,0,31,1312500.0,3750.0,cashew,0,33,62
30,30,22,875000.0,2500.0,cashew,2,38,56
30,30,22,875000.0,2500.0,cashew,1,39,58
30,49,14,1758749.9999999998,5024.999999999999,cashew,2,43,83
30,26,11,1312500.0,3750.0,cashew,1,44,33
30,26,11,1312500.0,3750.0,cashew,2,45,32
30,49,14,1693125.0,4837.5,cashew,1,49,84
30,7,18,1719375.0,4912.5,cashew,1,51,25
30,7,12,1798124.9999999998,5137.499999999999,cashew,7,52,18
30,7,12,1312500.0,3750.0,cashew,6,54,31
30,7,12,1312500.0,3750.0,cashew,3,55,31
30,7,12,1312500.0,3750.0,cashew,4,55,32
30,7,12,1785000.0,5100.0,cashew,8,57,16
30,7,18,1732499.9999999998,4949.999999999999,cashew,2,57,23
30,7,12,1312500.0,3750.0,cashew,5,58,31
30,32,21,1693125.0,4837.5,cashew,2,70,43
30,27,4,212625.0,607.5,cashew,2,71,45
30,32,21,1312500.0,3750.0,cashew,1,72,34
30,27,4,157500.0,450.0,cashew,1,78,35
30,23,7,840467.25,2401.335,cashew,1,81,50
30,23,7,846982.4999999999,2419.95,cashew,2,86,51
31,11,0,0.0,0.0,cashew,8,30,59
31,11,11,1312500.0,3750.0,cashew,1,30,60
31,11,0,0.0,0.0,cashew,5,30,61
31,11,11,1312500.0,3750.0,cashew,2,30,65
31,11,0,0.0,0.0,cashew,3,31,60
31,11,0,0.0,0.0,cashew,7,32,67
31,0,32,106312500.0,-33750.0,cashew,0,33,62
31,11,0,0.0,0.0,cashew,4,33,67
31,11,0,0.0,0.0,cashew,6,34,68
31,30,23,875000.0,2500.0,cashew,2,38,56
31,30,23,875000.0,2500.0,cashew,1,39,58
31,49,15,1758749.9999999998,5024.999999999999,cashew,2,43,83
31,26,12,1312500.0,3750.0,cashew,1,44,33
31,26,12,1312500.0,3750.0,cashew,2,45,32
31,49,15,1693125.0,4837.5,cashew,1,49,84
31,7,19,1719375.0,4912.5,cashew,1,51,25
31,7,13,1798124.9999999998,5137.499999999999,cashew,7,52,18
31,7,13,1312500.0,3750.0,cashew,6,54,31
31,7,13,1312500.0,3750.0,cashew,3,55,31
31,7,13,1312500.0,3750.0,cashew,4,55,32
31,7,13,1785000.0,5100.0,cashew,8,57,16
31,7,19,1732499.9999999998,4949.999999999999,cashew,2,57,23
31,7,13,1312500.0,3750.0,cashew,5,58,31
31,32,22,1693125.0,4837.5,cashew,2,70,43
31,27,5,434463.75,1241.325,cashew,2,71,45
31,32,22,1312500.0,3750.0,cashew,1,72,34
31,27,5,321825.0,919.5,cashew,1,78,35
31,23,0,0.0,0.0,cashew,4,80,43
31,23,0,0.0,0.0,cashew,3,81,42
31,23,8,1053123.75,3008.925,cashew,1,81,50
31,23,0,0.0,0.0,cashew,7,84,54
31,23,8,1061287.4999999998,3032.2499999999995,cashew,2,86,51
31,23,0,0.0,0.0,cashew,8,87,49
31,23,0,0.0,0.0,cashew,6,88,51
31,23,0,0.0,0.0,cashew,5,91,49
32,11,1,-28000.0,0.0,cashew,8,30,59
32,11,12,1312500.0,3750.0,cashew,1,30,60
32,11,1,-28000.0,0.0,cashew,5,30,61
32,11,12,1312500.0,3750.0,cashew,2,30,65
32,11,1,-28000.0,0.0,cashew,3,31,60
32,11,1,-28000.0,0.0,cashew,7,32,67
32,0,33,473812500.0,-71250.0,cashew,0,33,62
32,11,1,-28000.0,0.0,cashew,4,33,67
32,11,1,-28000.0,0.0,cashew,6,34,68
32,30,24,875000.0,2500.0,cashew,2,38,56
32,30,24,875000.0,2500.0,cashew,1,39,58
32,49,16,1758749.9999999998,5024.999999999999,cashew,2,43,83
32,26,13,1312500.0,3750.0,cashew,1,44,33
32,26,13,1312500.0,3750.0,cashew,2,45,32
32,49,16,1693125.0,4837.5,cashew,1,49,84
32,7,20,1719375.0,4912.5,cashew,1,51,25
32,7,14,1798124.9999999998,5137.499999999999,cashew,7,52,18
32,7,14,1312500.0,3750.0,cashew,6,54,31
32,7,14,1312500.0,3750.0,cashew,3,55,31
32,7,14,1312500.0,3750.0,cashew,4,55,32
32,7,14,1785000.0,5100.0,cashew,8,57,16
32,7,20,1732499.9999999998,4949.999999999999,cashew,2,57,23
32,7,14,1312500.0,3750.0,cashew,5,58,31
32,32,23,1693125.0,4837.5,cashew,2,70,43
32,27,6,657011.25,1877.175,cashew,2,71,45
32,32,23,1312500.0,3750.0,cashew,1,72,34
32,27,6,486675.0,1390.5,cashew,1,78,35
32,23,1,-28000.0,0.0,cashew,4,80,43
32,23,1,-28000.0,0.0,cashew,3,81,42
32,23,9,1265780.25,3616.515,cashew,1,81,50
32,23,1,-28000.0,0.0,cashew,7,84,54
32,23,9,1275592.5,3644.5499999999997,cashew,2,86,51
32,23,1,-28000.0,0.0,cashew,8,87,49
32,23,1,-28000.0,0.0,cashew,6,88,51
32,23,1,-28000.0,0.0,cashew,5,91,49
33,11,2,0.0,0.0,cashew,8,30,59
33,11,13,1312500.0,3750.0,cashew,1,30,60
33,11,2,0.0,0.0,cashew,5,30,61
33,11,13,1312500.0,3750.0,cashew,2,30,65
33,11,2,0.0,0.0,cashew,3,31,60
33,11,2,0.0,0.0,cashew,7,32,67
33,0,34,1103812500.0,-108750.0,cashew,0,33,62
33,11,2,0.0,0.0,cashew,4,33,67
33,11,2,0.0,0.0,cashew,6,34,68
33,30,25,875000.0,2500.0,cashew,2,38,56
33,30,25,875000.0,2500.0,cashew,1,39,58
33,49,17,1758749.9999999998,5024.999999999999,cashew,2,43,83
33,26,14,1312500.0,3750.0,cashew,1,44,33
33,26,14,1312500.0,3750.0,cashew,2,45,32
33,49,17,1693125.0,4837.5,cashew,1,49,84
33,7,21,1719375.0,4912.5,cashew,1,51,25
33,7,15,1798124.9999999998,5137.499999999999,cashew,7,52,18
33,4,0,0.0,0.0,cashew,1,53,69
33,4,0,0.0,0.0,cashew,2,53,70
33,7,15,1312500.0,3750.0,cashew,6,54,31
33,7,15,1312500.0,3750.0,cashew,3,55,31
33,7,15,1312500.0,3750.0,cashew,4,55,32
33,7,15,1785000.0,5100.0,cashew,8,57,16
33,7,21,1732499.9999999998,4949.999999999999,cashew,2,57,23
33,7,15,1312500.0,3750.0,cashew,5,58,31
33,32,24,1693125.0,4837.5,cashew,2,70,43
33,27,7,879558.75,2513.025,cashew,2,71,45
33,32,24,1312500.0,3750.0,cashew,1,72,34
33,27,7,651525.0,1861.5,cashew,1,78,35
33,23,2,0.0,0.0,cashew,4,80,43
33,23,2,0.0,0.0,cashew,3,81,42
33,23,10,1478436.7500000002,4224.1050000000005,cashew,1,81,50
33,23,2,0.0,0.0,cashew,7,84,54
33,23,10,1489897.4999999998,4256.849999999999,cashew,2,86,51
33,23,2,0.0,0.0,cashew,8,87,49
33,23,2,0.0,0.0,cashew,6,88,51
33,23,2,0.0,0.0,cashew,5,91,49
34,11,3,0.0,0.0,cashew,8,30,59
34,11,14,1312500.0,3750.0,cashew,1,30,60
34,11,3,0.0,0.0,cashew,5,30,61
34,11,14,1312500.0,3750.0,cashew,2,30,65
34,11,3,0.0,0.0,cashew,3,31,60
34,11,3,0.0,0.0,cashew,7,32,67
34,0,35,1996312500.0,-146250.0,cashew,0,33,62
34,11,3,0.0,0.0,cashew,4,33,67
34,11,3,0.0,0.0,cashew,6,34,68
34,30,26,875000.0,2500.0,cashew,2,38,56
34,30,26,875000.0,2500.0,cashew,1,39,58
34,53,0,0.0,0.0,cashew,2,42,81
34,49,18,1758749.9999999998,5024.999999999999,cashew,2,43,83
34,26,15,1312500.0,3750.0,cashew,1,44,33
34,26,15,1312500.0,3750.0,cashew,2,45,32
34,53,0,0.0,0.0,cashew,1,45,79
34,49,18,1693125.0,4837.5,cashew,1,49,84
34,7,22,1719375.0,4912.5,cashew,1,51,25
34,7,16,1798124.9999999998,5137.499999999999,cashew,7,52,18
34,4,1,-28000.0,0.0,cashew,1,53,69
34,4,1,-28000.0,0.0,cashew,2,53,70
34,7,16,1312500.0,3750.0,cashew,6,54,31
34,7,16,1312500.0,3750.0,cashew,3,55,31
34,7,16,1312500.0,3750.0,cashew,4,55,32
34,7,16,1785000.0,5100.0,cashew,8,57,16
34,7,22,1732499.9999999998,4949.999999999999,cashew,2,57,23
34,7,16,1312500.0,3750.0,cashew,5,58,31
34,32,0,0.0,0.0,cashew,7,67,44
34,32,0,0.0,0.0,cashew,8,67,45
34,32,0,0.0,0.0,cashew,4,70,33
34,32,25,1693125.0,4837.5,cashew,2,70,43
34,32,0,0.0,0.0,cashew,3,71,34
34,32,0,0.0,0.0,cashew,5,71,41
34,32,0,0.0,0.0,cashew,6,71,42
34,27,8,1102106.25,3148.875,cashew,2,71,45
34,32,25,1312500.0,3750.0,cashew,1,72,34
34,27,8,816375.0,2332.5,cashew,1,78,35
34,23,3,0.0,0.0,cashew,4,80,43
34,23,3,0.0,0.0,cashew,3,81,42
34,23,11,1693125.0,4837.5,cashew,1,81,50
34,23,3,0.0,0.0,cashew,7,84,54
34,23,11,1706249.9999999998,4874.999999999999,cashew,2,86,51
34,23,3,0.0,0.0,cashew,8,87,49
34,23,3,0.0,0.0,cashew,6,88,51
34,23,3,0.0,0.0,cashew,5,91,49
35,11,4,157500.0,450.0,cashew,8,30,59
35,11,15,1312500.0,3750.0,cashew,1,30,60
35,11,4,157500.0,450.0,cashew,5,30,61
35,11,15,1312500.0,3750.0,cashew,2,30,65
35,11,4,157500.0,450.0,cashew,3,31,60
35,11,4,157500.0,450.0,cashew,7,32,67
35,0,36,3151312500.0,-183750.0,cashew,0,33,62
35,11,4,157500.0,450.0,cashew,4,33,67
35,11,4,157500.0,450.0,cashew,6,34,68
35,30,27,875000.0,2500.0,cashew,2,38,56
35,30,27,875000.0,2500.0,cashew,1,39,58
35,53,1,-28000.0,0.0,cashew,2,42,81
35,49,19,1758749.9999999998,5024.999999999999,cashew,2,43,83
35,26,16,1312500.0,3750.0,cashew,1,44,33
35,26,16,1312500.0,3750.0,cashew,2,45,32
35,53,1,-28000.0,0.0,cashew,1,45,79
35,49,19,1693125.0,4837.5,cashew,1,49,84
35,7,23,1719375.0,4912.5,cashew,1,51,25
35,7,17,1798124.9999999998,5137.499999999999,cashew,7,52,18
35,4,2,0.0,0.0,cashew,1,53,69
35,4,2,0.0,0.0,cashew,2,53,70
35,7,17,1312500.0,3750.0,cashew,6,54,31
35,7,17,1312500.0,3750.0,cashew,3,55,31
35,7,17,1312500.0,3750.0,cashew,4,55,32
35,7,17,1785000.0,5100.0,cashew,8,57,16
35,7,23,1732499.9999999998,4949.999999999999,cashew,2,57,23
35,7,17,1312500.0,3750.0,cashew,5,58,31
35,1,0,0.0,0.0,cashew,2,64,37
35,1,0,0.0,0.0,cashew,1,66,33
35,32,1,-28000.0,0.0,cashew,7,67,44
