Step,owner,plID,crop,mgt,harvest,GM,pot,steps_cult,suitability,steps_fallow,X,Y
0,9,27,C,lo,1350.0,241918.0,1.5,8,1.5,0,38,47
0,27,18,M,lo,0.0,0.0,1.83,0,1.5,10,38,69
0,61,0,G,lo,729.0,145800.0,1.5,5,1.5,0,39,37
0,61,2,M,lo,1800.0,111940.0,1.5,7,1.5,0,39,38
0,34,4,G,lo,729.0,145800.0,1.5,4,1.5,0,39,39
0,34,0,M,lo,1800.0,111940.0,1.5,6,1.5,0,39,40
0,9,26,G,lo,729.0,145800.0,1.5,8,1.5,0,39,44
0,9,25,C,lo,1350.0,241918.0,1.5,9,1.5,0,39,45
0,9,23,M,lo,1800.0,111940.0,1.5,1,1.5,0,39,46
0,9,21,M,lo,1800.0,111940.0,1.5,4,1.5,0,39,47
0,9,22,G,lo,729.0,145800.0,1.5,4,1.5,0,39,48
0,5,4,G,lo,729.0,145800.0,1.5,9,1.5,0,40,33
0,50,2,M,lo,1800.0,111940.0,1.5,1,1.5,0,40,36
0,57,2,C,lo,1350.0,241918.0,1.5,8,1.5,0,40,37
0,34,8,G,lo,729.0,145800.0,1.5,7,1.5,0,40,39
0,34,1,C,lo,1350.0,241918.0,1.5,6,1.5,0,40,40
0,9,24,G,lo,729.0,145800.0,1.5,7,1.5,0,40,44
0,9,18,C,lo,1350.0,241918.0,1.5,7,1.5,0,40,45
0,9,16,G,lo,729.0,145800.0,1.5,2,1.5,0,40,46
0,9,15,M,lo,1800.0,111940.0,1.5,1,1.5,0,40,47
0,9,17,C,lo,1350.0,241918.0,1.5,8,1.5,0,40,48
0,9,19,C,lo,1350.0,241918.0,1.5,7,1.5,0,40,49
0,64,12,G,lo,486.0,97200.0,1.0,7,1.0,0,41,34
0,5,8,G,lo,729.0,145800.0,1.5,9,1.5,0,41,35
0,50,1,G,lo,729.0,145800.0,1.5,8,1.5,0,41,36
0,57,1,G,lo,729.0,145800.0,1.5,8,1.5,0,41,37
0,57,3,C,lo,1350.0,241918.0,1.5,10,1.5,0,41,38
0,34,9,G,lo,729.0,145800.0,1.5,10,1.5,0,41,39
0,34,7,C,lo,1350.0,241918.0,1.5,10,1.5,0,41,40
0,34,3,G,lo,729.0,145800.0,1.5,10,1.5,0,41,41
0,9,20,G,lo,729.0,145800.0,1.5,6,1.5,0,41,44
0,9,9,M,lo,1800.0,111940.0,1.5,6,1.5,0,41,46
0,9,7,M,lo,1800.0,111940.0,1.5,3,1.5,0,41,47
0,9,11,G,lo,729.0,145800.0,1.5,8,1.5,0,41,48
0,9,13,M,lo,1800.0,111940.0,1.5,10,1.5,0,41,49
0,64,10,C,lo,900.0,140668.0,1.0,7,1.0,0,42,33
0,4,11,C,lo,1350.0,241918.0,1.5,1,1.5,0,42,34
0,4,12,C,lo,1350.0,241918.0,1.5,6,1.5,0,42,35
0,50,0,M,lo,1800.0,111940.0,1.5,8,1.5,0,42,36
0,57,0,C,lo,1350.0,241918.0,1.5,10,1.5,0,42,37
0,61,11,G,lo,729.0,145800.0,1.5,9,1.5,0,42,40
0,61,18,C,lo,1350.0,241918.0,1.5,8,1.5,0,42,41
0,9,5,G,lo,729.0,145800.0,1.5,6,1.5,0,42,46
0,9,0,C,lo,1350.0,241918.0,1.5,2,1.5,0,42,47
0,9,3,C,lo,1350.0,241918.0,1.5,7,1.5,0,42,48
0,9,12,G,lo,729.0,145800.0,1.5,10,1.5,0,42,49
0,18,16,M,lo,1200.0,56740.0,1.0,4,1.0,0,43,19
0,18,11,G,lo,486.0,97200.0,1.0,4,1.0,0,43,20
0,18,9,M,lo,1200.0,56740.0,1.0,5,1.0,0,43,21
0,18,7,G,lo,486.0,97200.0,1.0,1,1.0,0,43,23
0,18,12,G,lo,486.0,97200.0,1.0,5,1.0,0,43,24
0,64,7,M,lo,1200.0,56740.0,1.0,8,1.0,0,43,33
0,64,8,M,lo,1200.0,56740.0,1.0,1,1.0,0,43,35
0,61,15,C,lo,1350.0,241918.0,1.5,9,1.5,0,43,40
0,9,31,C,lo,1350.0,241918.0,1.5,7,1.5,0,43,41
0,9,2,M,lo,1800.0,111940.0,1.5,2,1.5,0,43,46
0,9,1,M,lo,1800.0,111940.0,1.5,10,1.5,0,43,48
0,9,8,C,lo,1350.0,241918.0,1.5,7,1.5,0,43,49
0,18,14,C,lo,900.0,140668.0,1.0,7,1.0,0,44,20
0,18,10,G,lo,486.0,97200.0,1.0,4,1.0,0,44,21
0,18,8,C,lo,900.0,140668.0,1.0,10,1.0,0,44,22
0,18,13,G,lo,486.0,97200.0,1.0,8,1.0,0,44,24
0,64,9,M,lo,1200.0,56740.0,1.0,9,1.0,0,44,33
0,64,6,C,lo,900.0,140668.0,1.0,3,1.0,0,44,34
0,64,11,C,lo,900.0,140668.0,1.0,7,1.0,0,44,35
0,61,20,C,lo,1350.0,241918.0,1.5,10,1.5,0,44,40
0,9,33,C,lo,1350.0,241918.0,1.5,2,1.5,0,44,41
0,9,4,M,lo,1800.0,111940.0,1.5,10,1.5,0,44,46
0,9,10,G,lo,729.0,145800.0,1.5,1,1.5,0,44,49
0,18,15,M,lo,1200.0,56740.0,1.0,5,1.0,0,45,24
0,4,0,C,lo,1350.0,241918.0,1.5,6,1.5,0,45,33
0,4,4,M,lo,1800.0,111940.0,1.5,10,1.5,0,45,34
0,4,6,C,lo,1350.0,241918.0,1.5,2,1.5,0,45,35
0,4,7,G,lo,729.0,145800.0,1.5,2,1.5,0,45,36
0,64,0,G,lo,729.0,145800.0,1.5,7,1.5,0,45,40
0,64,3,C,lo,1350.0,241918.0,1.5,1,1.5,0,45,41
0,9,6,G,lo,729.0,145800.0,1.5,5,1.5,0,45,47
0,5,1,C,lo,1350.0,241918.0,1.5,4,1.5,0,46,26
0,5,0,M,lo,1800.0,111940.0,1.5,3,1.5,0,46,28
0,4,8,M,lo,1800.0,111940.0,1.5,4,1.5,0,46,29
0,4,2,G,lo,729.0,145800.0,1.5,7,1.5,0,46,34
0,4,5,M,lo,1800.0,111940.0,1.5,3,1.5,0,46,35
0,32,19,C,lo,1350.0,241918.0,1.5,9,1.5,0,46,40
0,32,18,G,lo,729.0,145800.0,1.5,5,1.5,0,46,41
0,9,14,G,lo,729.0,145800.0,1.5,1,1.5,0,46,47
0,62,18,G,lo,486.0,97200.0,1.0,5,1.0,0,47,22
0,5,3,M,lo,1800.0,111940.0,1.5,2,1.5,0,47,25
0,5,2,G,lo,729.0,145800.0,1.5,10,1.5,0,47,26
0,4,10,G,lo,729.0,145800.0,1.5,5,1.5,0,47,29
0,4,1,C,lo,1350.0,241918.0,1.5,6,1.5,0,47,33
0,4,3,G,lo,729.0,145800.0,1.5,10,1.5,0,47,34
0,64,1,C,lo,1350.0,241918.0,1.5,2,1.5,0,47,39
0,32,13,C,lo,1350.0,241918.0,1.5,6,1.5,0,47,40
0,32,10,G,lo,729.0,145800.0,1.5,8,1.5,0,47,41
0,32,7,M,lo,1800.0,111940.0,1.5,6,1.5,0,47,42
0,62,15,M,lo,1200.0,56740.0,1.0,5,1.0,0,48,21
0,62,12,C,lo,900.0,140668.0,1.0,2,1.0,0,48,23
0,62,13,C,lo,900.0,140668.0,1.0,10,1.0,0,48,24
0,62,16,C,lo,900.0,140668.0,1.0,9,1.0,0,48,25
0,62,20,C,lo,900.0,140668.0,1.0,3,1.0,0,48,26
0,32,15,M,lo,1800.0,111940.0,1.5,3,1.5,0,48,39
0,32,11,G,lo,729.0,145800.0,1.5,2,1.5,0,48,40
0,32,2,M,lo,1800.0,111940.0,1.5,4,1.5,0,48,42
0,32,4,M,lo,1800.0,111940.0,1.5,8,1.5,0,48,43
0,9,35,M,lo,0.0,0.0,1.785,0,1.5,7,48,52
0,62,9,G,lo,486.0,97200.0,1.0,8,1.0,0,49,22
0,62,7,M,lo,1200.0,56740.0,1.0,6,1.0,0,49,24
0,62,11,C,lo,900.0,140668.0,1.0,9,1.0,0,49,25
0,62,17,G,lo,486.0,97200.0,1.0,7,1.0,0,49,26
0,32,14,M,lo,1800.0,111940.0,1.5,2,1.5,0,49,39
0,32,5,G,lo,729.0,145800.0,1.5,5,1.5,0,49,40
0,32,3,M,lo,1800.0,111940.0,1.5,8,1.5,0,49,41
0,32,1,M,lo,1800.0,111940.0,1.5,10,1.5,0,49,43
0,32,6,G,lo,729.0,145800.0,1.5,6,1.5,0,49,44
0,62,6,G,lo,486.0,97200.0,1.0,1,1.0,0,50,21
0,62,5,G,lo,486.0,97200.0,1.0,4,1.0,0,50,22
0,11,5,C,lo,1350.0,241918.0,1.5,1,1.5,0,50,23
0,62,4,M,lo,1200.0,56740.0,1.0,9,1.0,0,50,24
0,11,0,M,lo,1800.0,111940.0,1.5,6,1.5,0,50,25
0,5,7,G,lo,729.0,145800.0,1.5,1,1.5,0,50,26
0,5,6,M,lo,1800.0,111940.0,1.5,2,1.5,0,50,27
0,5,9,M,lo,1800.0,111940.0,1.5,3,1.5,0,50,28
0,11,4,M,lo,1800.0,111940.0,1.5,6,1.5,0,50,29
0,4,9,G,lo,729.0,145800.0,1.5,1,1.5,0,50,34
0,64,2,G,lo,729.0,145800.0,1.5,6,1.5,0,50,35
0,64,4,M,lo,1800.0,111940.0,1.5,2,1.5,0,50,36
0,32,17,C,lo,1350.0,241918.0,1.5,6,1.5,0,50,39
0,6,1,M,lo,1800.0,111940.0,1.5,8,1.5,0,50,41
0,32,0,G,lo,729.0,145800.0,1.5,9,1.5,0,50,42
0,32,8,C,lo,1350.0,241918.0,1.5,7,1.5,0,50,44
0,18,0,G,lo,729.0,145800.0,1.5,4,1.5,0,51,21
0,62,2,C,lo,900.0,140668.0,1.0,6,1.0,0,51,22
0,18,1,G,lo,729.0,145800.0,1.5,4,1.5,0,51,24
0,11,2,C,lo,1350.0,241918.0,1.5,9,1.5,0,51,25
0,11,1,M,lo,1800.0,111940.0,1.5,7,1.5,0,51,26
0,11,3,C,lo,1350.0,241918.0,1.5,5,1.5,0,51,27
0,11,6,G,lo,729.0,145800.0,1.5,2,1.5,0,51,28
0,33,12,C,lo,1350.0,241918.0,1.5,4,1.5,0,51,29
0,48,1,C,lo,1350.0,241918.0,1.5,4,1.5,0,51,39
0,6,2,C,lo,1350.0,241918.0,1.5,5,1.5,0,51,40
0,32,9,C,lo,1350.0,241918.0,1.5,3,1.5,0,51,43
0,32,12,G,lo,729.0,145800.0,1.5,9,1.5,0,51,44
0,18,2,G,lo,729.0,145800.0,1.5,3,1.5,0,52,21
0,62,3,M,lo,1200.0,56740.0,1.0,9,1.0,0,52,22
0,18,3,M,lo,1800.0,111940.0,1.5,7,1.5,0,52,23
0,18,4,C,lo,1350.0,241918.0,1.5,3,1.5,0,52,24
0,18,5,M,lo,1800.0,111940.0,1.5,9,1.5,0,52,25
0,18,6,C,lo,1350.0,241918.0,1.5,4,1.5,0,52,26
0,19,11,M,lo,1800.0,111940.0,1.5,2,1.5,0,52,28
0,33,13,G,lo,729.0,145800.0,1.5,9,1.5,0,52,29
0,48,2,G,lo,729.0,145800.0,1.5,4,1.5,0,52,37
0,48,0,G,lo,729.0,145800.0,1.5,8,1.5,0,52,38
0,48,3,C,lo,1350.0,241918.0,1.5,5,1.5,0,52,39
0,6,4,C,lo,1350.0,241918.0,1.5,1,1.5,0,52,40
0,6,0,C,lo,1350.0,241918.0,1.5,5,1.5,0,52,41
0,6,3,C,lo,1350.0,241918.0,1.5,3,1.5,0,52,42
0,32,16,C,lo,1350.0,241918.0,1.5,10,1.5,0,52,43
0,32,20,M,lo,1800.0,111940.0,1.5,8,1.5,0,52,44
0,33,0,G,lo,729.0,145800.0,1.5,6,1.5,0,53,17
0,19,9,C,lo,1350.0,241918.0,1.5,8,1.5,0,53,19
0,19,3,M,lo,1800.0,111940.0,1.5,3,1.5,0,53,20
0,62,10,M,lo,1200.0,56740.0,1.0,8,1.0,0,53,21
0,62,8,M,lo,1200.0,56740.0,1.0,1,1.0,0,53,22
0,19,0,C,lo,1350.0,241918.0,1.5,4,1.5,0,53,23
0,19,1,G,lo,729.0,145800.0,1.5,6,1.5,0,53,24
0,19,2,G,lo,729.0,145800.0,1.5,4,1.5,0,53,25
0,19,4,C,lo,1350.0,241918.0,1.5,10,1.5,0,53,26
0,19,10,C,lo,1350.0,241918.0,1.5,7,1.5,0,53,27
0,33,11,G,lo,729.0,145800.0,1.5,6,1.5,0,53,28
