Step,owner,tract,rentin,wealth,draft,trees,rentout,livestock,cplots,hhsize,X,Y
5,4,0,0,0.0,0.0,1,0,0.0,8,16,42,44
5,15,0,0,356919.83499999996,0.0,1,0,0.0,16,34,42,74
5,3,0,0,105096.0,1.0,6,0,0.0,11,16,48,24
5,1,0,0,0.0,0.0,0,0,0.0,2,7,50,44
5,24,0,0,38631.0,0.0,1,0,0.0,4,9,53,75
5,16,0,0,573426.5,2.0,1,0,0.0,15,22,53,89
5,14,0,0,749154.5,2.0,1,0,0.0,20,45,58,42
5,38,0,0,914702.0000000009,4.0,0,0,2.0,18,34,58,58
5,22,0,0,8267.0,0.0,1,0,0.0,7,11,58,77
5,36,0,0,764.0,2.0,11,0,0.0,10,20,60,16
5,19,0,0,0.0,0.0,0,0,0.0,13,26,61,24
5,40,0,0,0.0,2.0,6,0,0.0,6,8,61,30
5,32,0,0,45754.0,0.0,1,0,0.0,4,6,64,13
5,10,0,0,53399.0,2.0,0,0,0.0,6,13,65,69
5,6,0,0,0.0,0.0,0,0,0.0,4,9,72,2
5,11,0,0,103176.49999999977,2.0,8,0,26.0,7,10,72,56
5,13,0,0,728689.0,4.0,0,0,16.0,18,25,73,31
5,33,0,0,0.0,0.0,0,0,0.0,1,5,74,79
5,21,0,0,0.0,1.0,0,0,0.0,9,12,85,13
5,20,0,0,0.0,1.0,12,0,0.0,11,20,88,49
5,30,0,0,0.0,2.0,0,0,0.0,48,86,88,68
5,9,0,0,12708.499999999534,2.0,8,0,0.0,7,13,90,81
5,27,0,0,0.0,1.0,6,0,0.0,5,7,92,77
5,8,0,0,0.0,0.0,0,0,0.0,1,3,95,16
5,43,0,0,177669.5,2.0,1,0,0.0,5,9,96,29
5,48,0,0,0.0,0.0,0,0,0.0,2,6,97,14
5,31,0,0,0.0,2.0,0,0,0.0,6,16,101,26
5,46,0,0,0.0,1.0,0,0,0.0,3,6,106,32
5,17,0,0,0.0,2.0,0,0,0.0,8,31,108,2
5,7,0,0,0.0,0.0,0,0,0.0,3,7,109,20
6,5,0,0,0.0,2.0,0,0,0.0,3,16,2,90
6,44,0,0,120481.5,2.0,5,0,50.0,5,7,5,78
6,49,0,0,348744.0,0.0,0,0,0.0,2,6,7,26
6,26,0,0,0.0,2.0,0,0,0.0,6,11,16,43
6,42,0,0,0.0,2.0,7,0,0.0,6,7,19,71
6,34,0,0,43437.0,2.0,5,0,0.0,7,9,22,44
6,41,0,0,280251.5,0.0,28,0,0.0,27,39,24,60
6,39,0,0,233288.5,0.0,0,0,0.0,20,33,26,48
6,18,0,0,21057.0,1.0,13,0,0.0,12,23,30,40
6,28,0,0,0.0,1.0,0,0,0.0,4,3,30,48
6,47,0,0,70269.99999999988,1.0,0,0,0.0,4,6,32,5
6,37,0,0,171240.5,2.0,1,0,0.0,9,16,35,30
6,0,0,0,1822774.584999999,2.0,1,0,0.0,34,80,35,76
6,25,0,0,182034.0,1.0,7,0,0.0,8,10,37,10
6,23,0,0,4168.0,2.0,7,0,0.0,6,9,37,14
6,2,0,0,11609.0,2.0,7,0,0.0,4,5,40,18
6,35,0,0,131515.0,2.0,1,0,0.0,7,11,40,62
6,4,0,0,0.0,1.0,1,0,0.0,8,16,41,45
6,29,0,0,102695.0,2.0,0,0,0.0,10,20,42,38
6,15,0,0,17482.00499999989,0.0,17,0,0.0,16,34,42,75
6,3,0,0,5676.5,1.0,7,0,0.0,11,16,48,24
6,1,0,0,0.0,0.0,0,0,0.0,2,7,50,44
6,24,0,0,27676.040000000037,0.0,6,0,0.0,5,9,53,75
6,16,0,0,24879.0,2.0,16,0,0.0,15,22,53,88
6,14,0,0,0.0,0.0,1,0,0.0,20,45,58,43
6,38,0,0,888996.5000000009,3.0,1,0,0.0,18,34,58,58
6,22,0,0,15703.75,0.0,8,0,0.0,7,11,58,76
6,36,0,0,56550.0,2.0,12,0,0.0,10,20,61,17
6,19,0,0,0.0,0.0,0,0,0.0,13,26,61,24
6,40,0,0,7960.0,2.0,6,0,0.0,6,8,61,30
6,32,0,0,123930.0,0.0,1,0,0.0,4,6,64,13
6,10,0,0,58635.0,2.0,0,0,0.0,6,13,66,70
6,6,0,0,0.0,0.0,0,0,0.0,4,9,72,2
6,13,0,0,740644.0,4.0,1,0,9.0,18,25,74,31
6,11,0,0,340866.0,2.0,9,0,25.0,7,10,74,57
6,33,0,0,0.0,0.0,0,0,0.0,1,5,74,79
6,21,0,0,0.0,1.0,0,0,0.0,9,12,85,13
6,30,0,0,0.0,0.0,0,0,0.0,48,86,88,67
6,20,0,0,0.0,1.0,12,0,0.0,11,20,89,49
6,9,0,0,0.0,2.0,8,0,0.0,7,13,90,81
6,27,0,0,124120.0,1.0,6,0,0.0,5,7,92,77
6,8,0,0,45803.0,0.0,0,0,0.0,1,3,95,16
6,43,0,0,81955.0,2.0,1,0,0.0,5,9,96,29
6,48,0,0,0.0,1.0,0,0,0.0,2,6,97,14
6,31,0,0,0.0,2.0,0,0,0.0,6,16,101,26
6,46,0,0,39967.0,1.0,0,0,0.0,3,6,107,32
6,17,0,0,0.0,2.0,0,0,0.0,8,31,108,2
6,7,0,0,0.0,0.0,0,0,0.0,3,7,109,20
7,5,0,0,0.0,2.0,0,0,0.0,3,16,2,90
7,44,0,0,7060.0,2.0,6,0,50.0,5,7,6,78
7,49,0,0,324817.8799999999,0.0,0,0,0.0,3,6,9,24
7,26,0,0,0.0,2.0,0,0,0.0,6,11,17,42
7,42,0,0,1595.0,2.0,7,0,0.0,6,8,19,71
7,34,0,0,2935.0,2.0,6,0,0.0,7,9,22,44
7,41,0,0,869639.0,0.0,32,0,0.0,27,39,24,60
7,39,0,0,305835.5,0.0,1,0,0.0,20,33,26,48
7,18,0,0,187192.5,1.0,15,0,0.0,12,23,30,39
7,47,0,0,81121.99999999988,1.0,0,0,0.0,4,6,32,5
7,28,0,0,0.0,1.0,0,0,0.0,4,3,32,50
7,37,0,0,2401.0,2.0,10,0,0.0,9,16,35,29
7,23,0,0,159065.00000000023,2.0,7,0,0.0,6,9,36,14
7,0,0,0,469450.00000000186,3.0,1,0,0.0,35,80,36,76
7,25,0,0,128374.0,1.0,7,0,0.0,8,10,37,9
7,2,0,0,64201.0,2.0,7,0,0.0,4,5,40,20
7,35,0,0,158597.5,2.0,1,0,0.0,7,11,40,61
7,29,0,0,291391.99999999953,1.0,0,0,0.0,10,20,42,37
7,4,0,0,26309.5,1.0,8,0,0.0,8,16,42,46
7,15,0,0,565366.5049999999,0.0,17,0,0.0,16,34,42,74
7,3,0,0,77031.5,1.0,7,0,0.0,11,16,48,26
7,1,0,0,0.0,0.0,0,0,0.0,2,7,50,44
7,16,0,0,0.0,2.0,16,0,0.0,15,22,53,88
7,24,0,0,34198.04000000004,0.0,6,0,0.0,5,9,54,76
7,14,0,0,0.0,0.0,1,0,0.0,20,45,58,43
7,38,0,0,66092.00000000093,1.0,1,0,0.0,18,34,58,58
7,12,0,0,0.0,2.0,0,0,0.0,4,18,58,76
7,22,0,0,162037.75,0.0,8,0,0.0,7,11,58,77
7,36,0,0,5188.0,2.0,12,0,0.0,10,20,61,18
7,19,0,0,0.0,0.0,0,0,0.0,13,26,61,24
7,40,0,0,157068.0,2.0,6,0,0.0,6,8,61,30
7,32,0,0,17357.0,0.0,5,0,0.0,4,6,64,13
7,10,0,0,58635.0,2.0,0,0,0.0,6,13,66,70
7,6,0,0,0.0,0.0,0,0,0.0,4,9,72,2
7,13,0,0,752001.0,4.0,19,0,1.0,18,25,74,31
7,33,0,0,0.0,0.0,0,0,0.0,1,5,74,79
7,11,0,0,307034.0,2.0,9,0,24.0,7,10,75,57
7,21,0,0,0.0,1.0,0,0,0.0,9,12,85,13
7,20,0,0,471695.0,1.0,12,0,0.0,11,20,87,50
7,30,0,0,0.0,1.0,0,0,0.0,48,86,88,67
7,9,0,0,2463.5,2.0,8,0,0.0,7,13,90,81
7,27,0,0,109583.0,1.0,6,0,0.0,5,7,94,75
7,8,0,0,6288.0,0.0,0,0,0.0,1,3,95,16
7,48,0,0,0.0,1.0,0,0,0.0,2,6,96,14
7,43,0,0,0.0,2.0,3,0,0.0,5,9,96,28
7,31,0,0,0.0,2.0,0,0,0.0,6,16,101,26
7,46,0,0,0.0,1.0,0,0,0.0,3,6,107,32
7,17,0,0,0.0,2.0,0,0,0.0,8,31,108,2
7,7,0,0,0.0,0.0,0,0,0.0,3,7,109,20
8,5,0,0,0.0,2.0,0,0,0.0,3,16,2,90
8,44,0,0,343239.0,2.0,6,0,48.0,5,7,6,78
8,49,0,0,0.0,1.0,0,0,0.0,4,6,10,23
8,26,0,0,0.0,2.0,0,0,0.0,6,11,17,41
8,42,0,0,8888.000000000466,2.0,7,0,0.0,6,8,19,72
8,34,0,0,126376.99999999977,2.0,6,0,0.0,7,9,23,44
8,41,0,0,180651.0,1.0,32,0,0.0,27,39,24,60
8,39,0,0,20995.5,0.0,16,0,0.0,20,33,27,47
8,18,0,0,0.0,1.0,15,0,0.0,12,23,31,38
8,47,0,0,37582.0,1.0,0,0,0.0,4,6,32,5
8,23,0,0,535328.0000000002,2.0,9,0,0.0,6,9,32,16
8,37,0,0,5309.0,2.0,10,0,0.0,10,16,34,29
8,28,0,0,26963.0,1.0,0,0,0.0,4,3,34,51
8,0,0,0,5675.0,4.0,1,0,0.0,36,80,36,76
8,25,0,0,190206.0,1.0,7,0,0.0,8,10,37,10
8,2,0,0,14613.0,2.0,7,0,0.0,4,5,40,20
8,35,0,0,14843.000000000466,2.0,8,0,0.0,7,11,40,61
8,4,0,0,0.0,1.0,8,0,0.0,8,16,42,46
8,29,0,0,0.0,2.0,0,0,0.0,10,20,43,37
8,15,0,0,0.0,1.0,17,0,0.0,16,34,43,74
8,3,0,0,277964.0,1.0,8,0,0.0,11,16,48,26
8,1,0,0,0.0,0.0,0,0,0.0,2,7,50,44
8,16,0,0,115022.0,2.0,16,0,0.0,15,22,52,88
8,24,0,0,11991.040000000037,0.0,7,0,0.0,5,9,54,75
8,14,0,0,0.0,0.0,1,0,0.0,20,45,58,43
8,38,0,0,0.0,2.0,1,0,0.0,18,34,58,59
8,12,0,0,0.0,2.0,0,0,0.0,4,18,58,76
8,22,0,0,113184.25,0.0,9,0,0.0,7,11,58,78
8,36,0,0,120840.0,2.0,12,0,0.0,10,20,60,18
8,19,0,0,458532.0,0.0,0,0,0.0,13,26,60,25
8,40,0,0,4656.0,2.0,6,0,0.0,6,8,61,30
8,32,0,0,45754.00000000012,0.0,5,0,0.0,4,6,64,13
8,10,0,0,106120.0,2.0,0,0,0.0,7,14,66,70
8,6,0,0,0.0,0.0,0,0,0.0,4,9,72,2
8,13,0,0,673853.0,3.0,20,0,0.0,18,25,73,32
8,33,0,0,0.0,0.0,0,0,0.0,1,5,74,79
8,11,0,0,315206.0,2.0,9,0,23.0,7,10,75,57
8,50,0,0,172436.0,0.0,0,0,0.0,2,6,82,3
8,21,0,0,0.0,1.0,0,0,0.0,9,12,85,13
8,20,0,0,3745.0000000009313,1.0,12,0,0.0,11,20,87,50
8,30,0,0,0.0,1.0,0,0,0.0,48,86,88,67
